Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
32,Colegio Presbitero Bernardo Montoya ,-75.49858,6.35398,Copacabana,Maria,,,,2010-01-29,Activa
33,Santa Maria Goretti,-75.63747,6.09446,Caldas,La Docena,,,,2010-02-01,Activa
34,I.E La Doctora,-75.61315,6.14144,Sabaneta,Vegas de la Doctora,,,,2010-02-02,Activa
35,I.E Joaquin Vallejo Arbelaez ,-75.54273,6.25513,Medellin,La Ladera,08 Villa Hermosa,,,2010-04-28,Activa
36,Colegio Concejo de Itagui,-75.64380,6.16793,Itagui,Ditaires,Comuna 03,,,2010-03-27,Activa
37,Liceo Fernando Velez,-75.56780,6.33755,Bello,El Carmelo,Comuna 05,,,2010-02-02,Activa
38,Casa Cultura La Estrella,-75.64447,6.15553,La Estrella,La Chinca,,,,2010-02-05,Activa
39,I.E Pedro Octavio Amado,-75.61056,6.22179,Medellin,Altavista,16 Belen,,,2010-04-30,Activa
40,I.E Ciro Mendia,-75.55587,6.29009,Medellin,Moscu No1,02 Santa Cruz,,,2010-02-12,Activa
41,Comisaria El Poblado,-75.56616,6.20661,Medellin,La Florida,14 El Poblado,,,2010-03-24,Activa
42,Escuela Rural Piedras Gordas,-75.49844,6.23614,Medellin,,,90 Santa Elena,Piedra Gorda,2010-03-24,Activa
43,Escuela Rural Quebrada Larga,-75.68567,6.20558,Medellin,,,80 San Antonio de Prado,Yarumalito,2010-05-03,Activa
44,I.E Villa Turbay,-75.53024,6.23563,Medellin,Villa Turbay,08 Villa Hermosa,,,2010-04-28,Activa
45,AMVA,-75.57414,6.24215,Medellin,Calle Nueva,10 La Candelaria,,,2010-08-31,Activa
46,I.E La Milagrosa ,-75.55426,6.23506,Medellin,La Milagrosa,09 Buenos Aires,,,2010-04-30,Activa
47,Villa Nueva Sede La Luz,-75.49659,6.38852,Copacabana,,,,Zarzal La Luz,2011-03-04,Activa
48,Escuela Rural Santa Angela,-75.59467,6.30446,Medellin,,,60 San Cristobal,El Carmelo,2010-05-14,Activa
49,Colegio Latino (Av. Las Palmas),-75.54590,6.21217,Medellin,,,90 Santa Elena,Las Palmas,2011-03-12,Activa
50,Universidad CES (Sabaneta),-75.60475,6.15787,Sabaneta,Virgen del Carmen,,,,2011-03-12,Activa
51,Represa La Garcia ,-75.60020,6.36190,Bello,,,,La Primavera,2011-03-04,Activa
52,Centro Veterinario y de Zootecnia CES,-75.56175,6.14496,Envigado,,,,Perico,2011-03-10,Activa
53,Colegio Eduardo Santos,-75.62938,6.25865,Medellin,Eduardo Santos,13 San Javier,,,2011-03-24,Activa
54,I.E Juan Maria Cespedes,-75.59716,6.23529,Medellin,El Nogal - Los Almendros,16 Belen,,,2011-05-06,Activa
55,I.E Reino de Belgica,-75.54001,6.28466,Medellin,Maria Cano Carambolas,03 Manrique,,,2011-03-23,Activa
56,I.E Inem Jose Felix de Restrepo Sede Santa Catalina ,-75.56096,6.19978,Medellin,El Tesoro,14 El Poblado,,,2011-03-25,Activa
57,Escuela la Clara,-75.61859,6.04202,Caldas,,,,La Clara,2012-03-23,Activa
58,Escuela Luis Javier Garcia Isaza,-75.62430,6.04777,Caldas,,,,La Salada Parte Baja,2012-03-23,Activa
59,ISAGEN,-75.55897,6.21394,Medellin,Las Lomas No2,14 El Poblado,,,2013-04-12,Activa
60,Torre SIATA,-75.58890,6.25890,Medellin,Estadio,11 Laureles - Estadio,,,2012-03-07,Activa
61,Planta de Agua Bocatoma,-75.64306,6.11986,La Estrella,,,,San Miguel,2012-03-20,Activa
62,Gimnasio Cantabria,-75.64413,6.13718,La Estrella,,,,Pueblo Viejo,2012-03-03,Activa
63,Las Flores,-75.45030,6.24800,Guarne,,,,San Jose,2012-04-07,Activa
64,Ecoparque La Romera,-75.59756,6.12003,Sabaneta,,,,La Doctora,2012-08-29,Activa
65,I.E Las Lomitas,-75.60128,6.14311,Sabaneta,,,,Las Lomitas,2012-03-09,Activa
66,I.E San Andres (Sede El Socorro),-75.45212,6.41035,Girardota,,,,El Socorro,2012-05-09,Activa
67,I.E Juan Echeverry Abad,-75.61478,6.18535,Itagui,,,,El Progreso,2012-03-16,Activa
68,Jardin Botanico,-75.56270,6.26940,Medellin,Jardin Botanico,04 Aranjuez,,,2013-02-01,Activa
69,Parque Biblioteca Espana,-75.54402,6.29499,Medellin,Santo Domingo Savio No. 1,01 Popular,,,2013-03-20,Inactiva
70,Indural Km6 Medellin-Bogota,-75.52297,6.32645,Copacabana,,,,Rodas,2012-06-25,Activa
71,CEFA,-75.56181,6.24641,Medellin,Boston,10 La Candelaria,,,2013-02-28,Activa
72,Jose Miguel de Restrepo,-75.51014,6.37739,Copacabana,,,,La Veta,2012-06-25,Activa
73,Ciudadela Educativa La Vida,-75.50472,6.34534,Copacabana,Cristo Rey,,,,2013-05-24,Activa
74,Edificio Gaspar de Rodas - Bello,-75.55855,6.33546,Bello,Centro,Comuna 04,,,2013-05-27,Activa
75,Institucion Educativa Rural El Tambo,-75.59311,6.43103,San Pedro,,,,El Tambo,2013-06-04,Activa
76,I.E. Fontidueno,-75.53774,6.33411,Bello,Fontidueno,Comuna 10,,,2013-07-02,Activa
77,Torre SIATA - Disdrometro,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,2013-04-03,Activa
78,Parque 3 Aguas - Disdrometro,-75.63536,6.09628,Caldas,,,,La Miel,2014-01-30,Activa
79,Subestacion Santa Rosa de Osos - Disdrometro,-75.45786,6.63889,Santa Rosa de Osos,Avenida crespo,,,,2015-07-16,Activa
80,Vivero EPM Piedras Blancas - Disdrometro,-75.49397,6.28328,Guarne,,,,Piedras Blancas,2013-07-23,Activa
81,Bomberos Guayabal,-75.58697,6.21522,Medellin,Campo Amor,15 Guayabal,,,2013-06-28,Activa
82,I.E Manuel Jose Caicedo,-75.32722,6.43498,Barbosa,Aguas Calientes,,,,2013-07-03,Activa
83,Centro de Salud San Javier La Loma - Meteorologica,-75.63112,6.27189,Medellin,,,60 San Cristobal,La Loma,2013-07-11,Activa
84,Escuela CEDEPRO,-75.63624,6.21959,Medellin,,,70 Altavista,Buga - Patio Bonito,2013-07-22,Inactiva
86,Pajarito,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,,Inactiva
88,CUIDA Juan Cojo,-75.45097,6.35678,Girardota,,,,Juan Cojo,2013-11-07,Activa
89,I.E Pedro Nel,-75.56778,6.31137,Medellin,Florencia,05 Castilla,,,2013-11-13,Activa
90,Colegio Campestre el Encanto,-75.66133,6.19537,Medellin,,,80 San Antonio de Prado,El Salado,2013-12-03,Activa
91,Estacion Metro Sabaneta,-75.61672,6.15753,Sabaneta,El Carmelo,,,,2014-03-14,Activa
92,Altavista,-75.61602,6.22185,Medellin,,,70 Altavista,Altavista,2012-08-17,Activa
93,Puente 33,-75.57750,6.23960,Medellin,Perpetuo Socorro,10 La Candelaria,,,2012-05-08,Activa
94,Puente de la Aguacatala,-75.58156,6.19533,Medellin,Guayabal,15 Guayabal,,,2012-06-21,Activa
95,Parque Lleras (Inmobiliaria Lleras),-75.56840,6.20740,Medellin,Parque Lleras,14 El Poblado,,,2012-06-21,Inactiva
96,La Gomez,-75.59320,6.27390,Medellin,Robledo,07 Robledo,,,2011-11-03,Activa
97,Parque de las Aguas-Nivel,-75.41860,6.40540,Barbosa,,,,Filo Verde,2011-10-19,Inactiva
98,Estacion Metro Floresta,-75.59743,6.25859,Medellin,El Estadio,11 Laureles - Estadio,,,2011-09-30,Activa
99,Aula Ambiental,-75.57253,6.26411,Medellin,El Chagualo,10 La Candelaria,,,2011-07-19,Activa
100,Emergencia Metro,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,1999-01-01,Inactiva
101,Parque lineal de la presidenta,-75.56911,6.20772,Medellin,El Poblado,14 El Poblado,,,2013-12-19,Activa
102,Caldas-Unidad Deportiva,-75.63305,6.08825,Caldas,La Docena,,,,2013-12-23,Inactiva
103,Parque del Artista  Itagui,-75.60361,6.17780,Itagui,,,,,2013-12-27,Inactiva
104,Quebrada La Zuniga,-75.57951,6.18493,Medellin,Santa Maria de los Angeles,14 El Poblado,,,2013-12-27,Activa
105,Parque 3 Aguas,-75.63536,6.09628,Caldas,,,,La Miel,2014-01-16,Activa
106,3 Aguas - Nivel,-75.63526,6.09602,Caldas,La Inmaculada,,,,2014-01-16,Activa
107,Fundacion Hogares Claret - Humedad,-75.61122,6.29498,Medellin,,,60 San Cristobal,Pajarito,2014-11-07,Activa
108,Santa Rita - San Antonio de Prado,-75.65154,6.19057,Medellin,,,80 San Antonio de Prado,La Verde,2014-03-10,Activa
109,La Doctora - Sabaneta,-75.61651,6.14556,Sabaneta,Vegas de la Doctora,,,,2014-03-11,Activa
110,Q. La Iguana,-75.60525,6.27612,Medellin,Fuente Clara,07 Robledo,,,2014-04-11,Inactiva
111,Q. Santa Elena,-75.55400,6.24350,Medellin,Sucre,08 Villa Hermosa,,,2014-04-08,Inactiva
112,Cantera Cimax - Humedad,-75.54628,6.31123,Bello,Santa Rita,Bello Comuna 11,,Granizal,2014-08-28,Inactiva
115,Q. Ayura,-75.58061,6.17044,Envigado,Los Naranjos,,,,2014-07-10,Inactiva
116,Q. Picacha,-75.58503,6.24214,Medellin,Conquistadores,11 Laureles - Estadio,,,2014-07-13,Inactiva
117,Q. Chachafruto,-75.57370,6.37320,Bello,,,,Vereda Tierra Adentro,2015-08-26,Inactiva
118,Colegio Waldorf Isolda Echavarria,-75.64743,6.15926,La Estrella,Horizontes,,,San Jose,2014-03-28,Inactiva
120,Caldas-Unidad Deportiva,-75.63305,6.08825,Caldas,La Docena,,,,2014-11-24,Inactiva
121,I.E Barrio Paris,-75.58156,6.31375,Bello,Paris,Comuna 01,,,2014-11-26,Activa
122,Tasajera,-75.43522,6.42450,Barbosa,,,,El Tigre,2014-12-05,Activa
123,Q. La Iguana,-75.60525,6.27612,Medellin,Fuente Clara,07 Robledo,,,2015-01-15,Inactiva
124,Caldas-Unidad Deportiva,-75.63305,6.08825,Caldas,La Docena,,,,2015-01-28,Activa
125,Cedro Verde - Humedad,-75.54473,6.15922,Medellin,,,,Santa Catalina,1999-01-01,Inactiva
126,Puente de Machado,-75.53783,6.33600,Bello,Machado,Comuna 10,,,2015-04-07,Inactiva
127,I.E. Manuel Jose Sierra - Sede la Holanda,-75.48325,6.41933,Girardota,,,,La Holanda- parte alta,2015-04-07,Activa
128,La Garcia,-75.56572,6.34378,Bello,Playa Rica,Comuna 06,,,2015-04-16,Activa
129,Colegio Divino Salvador,-75.54839,6.23708,Medellin,Miraflores,09 Buenos Aires,,,2015-04-23,Activa
130,El Hato,-75.55853,6.32950,Bello,Puerto Bello,,,,2015-04-23,Inactiva
131,Parque de las aguas - Disdrometro,-75.41947,6.40626,Barbosa,,,,Filo Verde,2015-04-28,Inactiva
132,Puente de Machado,-75.53783,6.33600,Bello,Fontidueno,Comuna 8,,,2015-04-28,Inactiva
133,Vereda el perico - Humedad,-75.50711,6.19133,Envigado,,,,El Vallano,2015-05-08,Inactiva
134,Q. La Madera - Nivel,-75.57003,6.31090,Bello,Barrio Nuevo,Comuna 02,,,2015-05-08,Activa
135,Q. La loca - Nivel,-75.56089,6.32369,Bello,San Jose Obrero,Comuna 02,,,2015-05-21,Activa
136,Salgar Puente Hospital - Nivel,-75.98033,5.96486,Salgar,,,,,2015-05-22,Inactiva
136,Salgar Puente Hospital,-75.98020,5.96480,Salgar,,,,,2015-05-22,Inactiva
137,Vereda Liboriana - Nivel,-76.03139,5.95706,Salgar,,,,Vereda Liboriana,2015-05-23,Inactiva
138,Vereda Liboriana,-76.03150,5.95706,Salgar,,,,Vereda Liboriana,2015-05-23,Inactiva
139,Santa Rita Guatape - Disdrometro,-75.17269,6.31756,Guatape,,,,Santa Rita,2015-05-28,Activa
140,Puente Fundadores Copacabana,-75.49881,6.35797,Copacabana,La Maria,,,,2015-06-12,Activa
141,Finca El Canalon Deslizamiento,-75.60794,6.12931,Sabaneta,,,,La Doctora,2015-06-23,Inactiva
142,Finca El Canalon Corona,-75.60789,6.12917,Sabaneta,,,,La Doctora ,2015-06-23,Inactiva
143,Q. La Doctora Aguas Arriba,-75.60903,6.13553,Sabaneta,,,,La Doctora,2015-06-24,Activa
144,Q. El Canalon,-75.60778,6.13403,Sabaneta,,,,La Doctora,2015-06-24,Inactiva
145,Q. La Sabanetica,-75.62281,6.14736,Sabaneta,Prados de Sabaneta,,,,2015-07-03,Activa
146,Club del adulto mayor - Sabaneta,-75.62225,6.14731,Sabaneta,Prados de Sabaneta,,,,2015-07-21,Activa
147,Bocatoma el viento - nivel,-75.31006,6.41392,Barbosa,,,,Ventanas,2015-07-22,Inactiva
148,Bocatoma las despensas,-75.67608,6.19000,Medellin,,,80 San Antonio de Prado,Montanita,2015-07-24,Inactiva
150,Canada Negra - Nivel,-75.55056,6.30669,Bello,Santa Rita,Comuna 11,,,2015-08-05,Activa
151,Seminario Redemptoris Mater,-75.53711,6.22415,Medellin,,,90 Santa Elena,Las Palmas,2015-08-18,Inactiva
152,Q. Ana Diaz,-75.60944,6.24603,Medellin,Barrio Cristobal,12 La America,,,2015-08-24,Activa
153,Bocatoma la Cascada,-75.51181,6.22706,Medellin,,,90 Santa Elena,Vereda Media Luna,2015-09-03,Inactiva
154,Centro de desarrollo infantil pequenos exploradores,-75.54792,6.30964,Bello,Santa Rita,Comuna 11,,,2015-09-17,Activa
155,El Hato,-75.55853,6.32950,Bello,Puerto Bello,Comuna 04,,,2015-09-23,Activa
156,Carmen de Viboral - Disdrometro,-75.30506,6.08550,El Carmen de Viboral,,,,Viboral,2015-09-24,Inactiva
157,Aula Ambiental - Velocidad Superficial,-75.57253,6.26411,Medellin,El Chagualo,07 Robledo,,,2015-10-01,Inactiva
158,Q. La Rosa,-75.55533,6.28919,Medellin,Moscu No1,01 Popular,,,2015-10-07,Activa
159,Samana - Disdrometro,-74.99511,5.44064,Samana,,,,La Palma,2015-09-24,Activa
160,Samana - Pluviometro,-74.99511,5.44064,Samana,,,,La Palma,2015-10-16,Activa
161,Q. La Chocha,-75.64628,6.15362,La Estrella,Chile,,,,2015-11-23,Activa
162,Q. El Tablazo,-75.61275,6.18111,Itagui,El Progreso,,,,2015-11-23,Inactiva
163,Q. La Munoz,-75.62545,6.16687,Itagui,,,,,2015-11-20,Inactiva
164,Planta de potabilizacion de barbosa,-75.32492,6.43003,Barbosa,,,,,2016-01-07,Inactiva
165,Santa Rosa de Osos - Pluvio,-75.45786,6.63889,Santa Rosa de Osos,Avenida crespo,,,,2016-03-01,Activa
166,Q. El Chocho,-75.63162,6.22312,Medellin,,,70 Altavista,Altavista - Sector Central,2016-02-02,Activa
167,Ancon Sur,-75.62672,6.15300,Medellin,Zona Industrial,,,,2016-01-10,Inactiva
168,Santa Rita Guatape - Pluvio,-75.17269,6.31756,Guatape,,,,Santa Rita,2016-02-29,Activa
169,Rio Medellin - La Clara,-75.61976,6.04869,Caldas,,,,La Clara,2016-02-11,Activa
170,Metro Poblado - Nivel,-75.57810,6.21287,Medellin,Patio Bonito,14 El Poblado,,,2016-04-02,Inactiva
171,Escombrera Mocatan - Pluvio,-75.63083,6.05973,Caldas,,,,La Clara,2016-02-29,Activa
172,Escombrera Mocatan - Nivel,-75.62875,6.06063,Caldas,,,,La Clara,2016-04-01,Inactiva
173,Q. Picacha - Aguas Frias,-75.63967,6.23148,Medellin,,,70 Altavista,Aguas Frias,2016-04-28,Activa
174,Q. La Sanin,-75.54610,6.20300,Medellin,,,90 Santa Elena,Las Palmas,2016-05-11,Inactiva
174,Q. La Sanin,-75.54610,6.20300,Medellin,,,90 Santa Elena,Las Palmas,2016-05-11,Inactiva
175,Q. La Honda - C. Bravo M.,-75.55728,6.26610,Medellin,Manrique Central No. 1,4 Aranjuez,,,2016-05-13,Inactiva
176,Altavista - Velocidad Superficial,-75.61586,6.22187,Medellin,,,70 Altavista,Altavista,2016-06-10,Inactiva
177,3 Aguas - Velocidad Superficial,-75.63526,6.09602,Caldas,,,,La Miel,2016-06-10,Inactiva
178,Q. La Honda - C. Bravo M.,-75.55728,6.26610,Medellin,Manrique Central No. 1,4 Aranjuez,,,2016-05-13,Inactiva
179,La Inmaculada - Nivel,-75.63359,6.13670,La Estrella,,,,Pan de Azucar,2016-09-23,Activa
181,Q. La grande - Vivero Ancon Sur,-75.63517,6.15052,La Estrella,,,,Pueblo Viejo,2016-11-23,Activa
182,Q. Santa Elena,-75.55387,6.24315,Medellin,Caicedo,09 Buenos Aires,,,2016-11-25,Activa
183,Q. la Ayura - Ecoparque el Salado,-75.56922,6.13868,Envigado,,,,Pantanillo,2016-12-20,Activa
184,Miraflores,-75.54918,6.23002,Medellin,Cataluna,09 Buenos Aires,,,2017-01-17,Activa
185,Puente de los Fundadores - Velocidad Superficial,-75.49882,6.35804,Copacabana,,,,,2017-02-10,Inactiva
186,Q. La Gallinaza,-75.32771,6.43292,Barbosa,,,,Buenos Aires,2017-04-07,Activa
187,Q. La Sanin - Nivel,-75.54610,6.20300,Medellin,,,90 Santa Elena,Las Palmas,2017-06-27,Activa
188,Humedad La Sanin,-75.54610,6.20300,Medellin,,,90 Santa Elena,Las Palmas,2017-06-25,Activa
189,Q. La Sanin - Pluviografica,-75.54610,6.20300,Medellin,,,90 Santa Elena,Las Palmas,2017-07-14,Activa
190,El Santuario - Pluvio,-75.27438,6.13384,El Santuario,,,,El Saladito,2017-07-15,Activa
191,El Santuario - Disdrometro,-75.27438,6.13384,El Santuario,,,,El Saladito,2017-07-15,Activa
192,Q. Dona Ana - Nivel,-75.61044,6.13909,Sabaneta,,,,La Doctora,2017-07-19,Activa
193,Fuente Clara - Pluviometro,-75.61284,6.13266,Sabaneta,,,,La Doctora,2017-07-18,Activa
194,Cocorna - Pluvio,-75.21106,6.07951,Cocorna,,,,Mediacuesta,2017-07-24,Activa
195,La Ceja - Nivel,-75.42863,6.02940,La Ceja,Cabecera,,,,2017-08-01,Activa
196,Rionegro - Nivel,-75.36133,6.17863,Rionegro,,,,La Laja,2017-08-30,Activa
197,Universidad de Medellin - Meteorologia,-75.60996,6.23018,Medellin,Las Violetas,16 Belen,,,2017-08-16,Activa
198,Politecnico Jaime Isaza Cadavid - Meteorologica,-75.57777,6.20898,Medellin,Patio Bonito,14 El Poblado,,,2017-08-10,Activa
199,Rionegro - Thies,-75.36900,6.16629,Rionegro,,,,La Laja,2017-08-28,Activa
201,Torre SIATA,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,2012-12-28,Activa
202,AMVA,-75.57430,6.24215,Medellin,Calle Nueva,10 La Candelaria,,,2012-10-30,Activa
203,UNAL-Sede Agronomia,-75.57780,6.26075,Medellin,La Iguana,07 Robledo,,,2012-10-30,Activa
204,Parque de las Aguas,-75.41947,6.40626,Barbosa,,,,Vereda Filo Verde,2012-11-23,Inactiva
205,Santa Elena-Radar,-75.52760,6.19350,Medellin,,,90 Santa Elena,El Plan,2012-11-01,Activa
206,Colegio Concejo de Itagui,-75.64380,6.16793,Itagui,Ditaires,,,,2012-11-06,Activa
207,Vivero EPM Piedras Blancas,-75.49397,6.28328,Guarne,,,,Piedras Blancas,2013-02-25,Activa
210,Telemedellin-Poblado,-75.57581,6.18699,Medellin,El Diamante No. 2,14 El Poblado,,,2012-12-07,Inactiva
211,La Ladera,-75.55403,6.25119,Medellin,La Ladera,08 Villa Hermosa,,,2012-12-10,Activa
213,Ciudadela del Valle Itagui,-75.60175,6.18697,Itagui,,,70 Altavista,Los Gomez,1999-01-01,Inactiva
227,Sonson - Pluvio,-75.30937,5.71597,Sonson,Centro,,,,2017-08-29,Activa
228,Sonson - Disdrometro,-75.30937,5.71597,Sonson,Sector Central,,,,2017-08-29,Activa
229,Alcaldia La Estrella - Thies,-75.64162,6.15814,La Estrella,El Dorado,,,,2017-08-31,Activa
230,Alcaldia La Estrella - Pluvio,-75.64162,6.15814,La Estrella,El Dorado,,,,2017-08-30,Activa
231,Alcaldia La Estrella - Disdrometro,-75.64162,6.15814,La Estrella,El Dorado,,,,2017-08-30,Activa
233,I.E Manuel Jose Caicedo - Disdrometro,-75.32722,6.43498,Barbosa,Aguas Calientes,,,,2017-09-18,Activa
234,I.E Manuel Jose Caicedo - Pluviometro,-75.32722,6.43498,Barbosa,Aguas Calientes,,,,2017-09-18,Activa
235,Quebrada Larga - Humedad,-75.68551,6.20552,Medellin,,,80 San Antonio de Prado,Yarumalito,2017-09-18,Activa
236,Q. Dona Maria,-75.59789,6.18104,Itagui,Santa Maria No. 2,,,,2017-09-19,Activa
237,Astilleros - Humedad,-75.66688,6.23977,Medellin,,,80 San Antonio de Prado,El Astillero,2017-09-21,Inactiva
238,Q. La Iguana - Nivel,-75.60538,6.27622,Medellin,Fuente Clara,07 Robledo,,,2017-09-25,Activa
239,Piedras Blancas - Nivel,-75.51070,6.34629,Copacabana,Simon Bolivar,,,,2017-10-03,Activa
240,Q. La Valeria - Nivel,-75.64491,6.09199,Caldas,,,,La Valeria,2017-10-05,Activa
241,Sede Social Picacho Las Vegas,-75.58336,6.29515,Medellin,Picacho,06 Doce Octubre,,,2017-10-12,Activa
242,IE Jesus Maria Valle,-75.58216,6.30065,Medellin,Picacho,06 Doce Octubre,,,2017-10-17,Activa
243,Unisabaneta-Caequinos - Humedad,-75.60450,6.13773,Sabaneta,,,,La Doctora,2017-04-17,Inactiva
244,Bomberos Envigado - Pluvio,-75.60088,6.16663,Envigado,Las Vegas,,,,2017-10-20,Activa
245,Q. La miel - Nivel,-75.62083,6.10140,Caldas,,,,La Miel,2017-10-25,Activa
246,Q. La Raya - Nivel,-75.64090,6.11194,La Estrella,,,,La Raya,2017-10-31,Activa
247,Q. El Tablazo - Nivel,-75.61275,6.18111,Itagui,El Progreso,,,,2017-11-01,Activa
248,Vivero EPM Piedras Blancas - Pluvio,-75.49397,6.28328,Guarne,,,,Piedras Blancas,2017-11-03,Activa
249,Escuela CEDEPRO,-75.63624,6.21959,Medellin,,,70 Altavista,Buga - Patio Bonito,2017-11-17,Activa
251,Q.  la Lopez - Nivel,-75.32500,6.42972,Barbosa,,,,Buenos Aires,2017-11-08,Activa
252,Alcaldia Envigado - Meteorologica,-75.58830,6.16990,Envigado,Centro,,,,2017-04-24,Activa
253,Parque 3 Aguas - Pluvio,-75.63536,6.09628,Caldas,,,,La Miel,2017-11-14,Activa
254,SOS Aburra Norte - Girardota - Meteorologica,-75.45091,6.37904,Girardota,Juan XXIII,,,,2017-11-15,Inactiva
256,Puerto Triunfo - Pluviometro,-74.64149,5.86831,Puerto Triunfo,Sector Central,,,,2017-11-22,Activa
257,Puerto Triunfo - Disdrometro,-74.64149,5.86831,Puerto Triunfo,Sector Central,,,,2018-06-13,Activa
259,Andalucia Caldas - Nivel,-75.62651,6.09259,Caldas,Andalucia,,,,2017-11-28,Activa
260,Puente Gabino - Nivel,-75.20589,6.55962,Yolombo,,,,El Caney,2017-11-29,Activa
261,Deslizamiento La raya - Pluviografica,-75.64810,6.11380,La Estrella,,,,San Miguel,2017-11-30,Activa
263,La clara digital- Pluviografica,-75.61976,6.04869,Caldas,,,,La Clara,2017-12-14,Inactiva
265,Q. La loca El cafetal - Nivel,-75.58002,6.31582,Bello,Paris,Comuna 01,,,2017-12-14,Activa
266,Himalaya - Pluvio,-75.63962,6.14716,La Estrella,,,,Pueblo Viejo,2017-12-18,Activa
267,Colegio Canadiense - Pluviografica,-75.63836,6.13166,La Estrella,,,,Penas Blancas,2017-12-18,Activa
268,Q La Bermejala - Nivel,-75.63570,6.13278,La Estrella,,,,La Tablaza,2017-12-20,Activa
269,Parque de las Aguas - Thies,-75.41871,6.40661,Barbosa,,,,Filo Verde,2018-01-04,Activa
271,Jorge Eliecer Gaitan - Thies,-75.55866,6.33711,Bello,Centro,Comuna 04,,,2018-01-04,Activa
